REF_AREA,Y_LE4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64,Y65T69,Y70T74,Y75T79,Y80T84,Y_GE85,Under_20,Over_65,Total_Sum,Percent_Under_20,Percent_Over_65
AUS,1509959,1616774,1623892,1479632,1623384,1822031,1899620,1867387,1654500,1650035,1611554,1550507,1465025,1280143,1146773,807195,545408,534260,6230257.0,3033636.0,25688079.0,0.2425349517182659,0.11809508994425001
AUT,432776,430810,423855,435995,500791,592538,617009,614462,577136,599923,693658,702923,596595,470707,417423,331200,289712,224007,1723436.0,1262342.0,8951520.0,0.19252998373460598,0.14101984914293886
BEL,596453,650841,679662,642763,670738,728466,760176,744597,754023,747702,784494,803310,740170,638848,560330,404391,310236,335415,2569719.0,1610372.0,11552615.0,0.22243613242542923,0.13939458728608198
CAN,1885075,2044619,2091774,2057182,2450234,2636004,2693643,2662756,2506925,2382520,2428937,2698869,2605809,2232897,1853367,1280982,842273,872632,8078650.0,4849254.0,38226498.0,0.21133638765444848,0.12685582655256572
CHE,437843,442508,432603,421642,474891,558042,623443,625652,604886,598622,649646,649914,539357,439898,400632,339826,231096,234041,1734596.0,1205595.0,8704542.0,0.1992748153779946,0.13850183042370293
CHL,1178895,1279150,1287620,1242805,1416129,1629871,1659478,1461105,1362172,1296281,1225010,1167604,1013544,844335,615340,430954,287061,281009,4988470.0,1614364.0,19678363.0,0.2535002530444224,0.08203751501077605
COL,3825091,3931746,3959375,4093960,4358856,4345197,3985581,3682928,3341162,2960288,2863567,2667483,2233955,1726958,1259731,849193,517630,514677,15810172.0,3141231.0,51117378.0,0.30929152899822054,0.06145133265638155
CRI,363196.52410814,375552.673648659,373326.407829988,374718.127015754,415467.007539894,441301.454968728,449042.045932878,427652.742266868,364925.051519539,305458.123732828,285770.543237611,274999.815402284,234855.071245075,180239.100880289,119581.964946882,79979.5023122249,51266.0494911305,45705.7648368361,1486793.7326025409,296533.28158707346,5163037.97091561,0.28796877748680855,0.05743387580287085
CZE,558154,550444,579904,494683,474195,587121,683641,714781,847510,882118,689904,668102,610438,665161,617288,429376,247901,200129,2183185.0,1494694.0,10500850.0,0.2079055505030545,0.1423402867386926
DEU,3972234,3835853,3734279,3841876,4546510,4902834,5567347,5313035,5083594,4950131,6356168,6832056,5906092,4933516,4070680,3325825,3458356,2565690,15384242.0,13420551.0,83196076.0,0.18491547606163541,0.16131230756604434
DNK,310710,299898,335993,340416,372987,402458,373635,331017,348710,393749,396955,406577,349439,320427,311905,267662,157881,129770,1287017.0,867218.0,5850189.0,0.21999579842634143,0.1482376039474964
ESP,1874384.546572,2268873.232936,2528829.465527,2458384.444271,2401715.872969,2513451.81215,2721457.567356,3127781.293789,3818928.037364,3947700.468327,3713897.021837,3459672.779069,3053594.621966,2521239.531808,2224355.728827,1815548.855823,1284865.144636,1596621.34918,9130471.689306,6921391.078466,47331301.774407,0.19290556876766557,0.14623284843199766
EST,69928,71421,76786,65443,62273,74086,100968,97792,91880,91443,86767,84565,86186,78999,67267,45527,43458,36143,283578.0,192395.0,1330932.0,0.21306723408859354,0.14455659643017074
EU27,21024248.046572,22385725.232936,23644885.465527,23147420.944271,23996917.372969,25536893.31215,28266120.067356,29332673.793789,30841371.537364,31558231.968327,32477988.021837,31700000.279069,29381197.121966,26394259.531808,23351287.228827,17006198.355823,13900310.144636,13171775.84918,90202279.68930599,67429571.578466,447117504.27440697,0.2017417766626883,0.15080950965651038
FIN,245141,297550,313637,300464,306839,351121,358306,364163,349420,321656,342171,367048,356018,354068,351474,238898,166755,156291,1156792.0,913418.0,5541020.0,0.2087687826429069,0.16484654449902725
FRA,3595574,4049327,4270498,4192992,3896031,3731639,4076416,4207748,4199662,4385178,4445743,4426095,4163462,3897449,3701279,2402793,1826032,2270945,16108391.0,10201049.0,67738863.0,0.2378013194582259,0.15059374409635426
G20,315998579.046572,344957209.232936,346908422.465527,341046399.944271,345672050.372969,356400596.31215,386480909.067356,361169562.793789,329857272.537364,330575285.968327,324236978.021837,293315885.279069,234158581.121966,210082545.531808,157872324.228827,99752151.355823,69115430.144636,57628601.84918,1348910610.6893063,384368507.57846594,4905228785.274407,0.27499443343779645,0.07835893582218789
GBR,3580269,3933947,4034833,3794214,4034799,4367126,4655236,4477368,4226466,4214569,4640482,4573856,3956096,3354034,3345116,2490287,1698442,1649152,15343263.0,9182997.0,67026292.0,0.22891409538215243,0.13700589315010892
GRC,440078,481796,547989,540113,540880,543897,575607,689269,794334,797232,806178,729244,692086,620248,560811,444551,377012,387886,2009976.0,1770260.0,10569211.0,0.19017275745559437,0.1674921619030976
HUN,469265,461604,482834,490334,517234,613590,625230,627660,779989,802057,692583,567148,596860,658511,509689,370501,245387,199417,1904037.0,1324994.0,9709893.0,0.19609248011280866,0.13645814634620587
IRL,302553,334993,358010,325257,310300,291628,317156,375662,402140,364417,323976,297186,265909,229177,194269,142770,91431,84626,1320813.0,513096.0,5011460.0,0.2635585238633053,0.10238453464659002
ISL,22227,22675,24496,22583,25608,30361,29443,26221,24964,23802,21689,22182,20910,17699,14444,10278,6339,6602,91981.0,37663.0,372523.0,0.24691361338762977,0.10110248226284015
ISR,915200,890200,815700,739100,681400,629500,609200,594800,566500,539300,457900,404300,383000,360500,319300,186700,143200,135700,3360200.0,784900.0,9371500.0,0.3585551939390706,0.08375393480232621
ITA,2179673,2550829,2832669,2861564,2940341,3023461,3218898,3448061,3938328,4651185,4812457,4679549,3999690,3500887,3405047,2598363,2280943,2211228,10424735.0,10495581.0,59133173.0,0.1762925016724538,0.17749057707422533
JPN,4389342,5037801,5357136,5579706,6262945,6379418,6555619,7353877,8172701,9731668,9252489,7823957,7391383,7869020,9671500,6712350,5562998,6398380,20363985.0,28345228.0,125502290.0,0.16225986792750954,0.22585426927269614
KOR,1617527,2229491,2296616,2345904,3278877,3672722,3302395,3678606,3941302,4210888,4423203,4111535,4064463,2895582,2090931,1567531,1157941,859362,8489538.0,5675765.0,51744876.0,0.1640652883195623,0.10968747900758329
LTU,130349,143665,143216,129484,141114,165885,195712,191145,180229,191778,206189,215303,214028,160375,133954,107517,85830,72607,546714.0,399908.0,2808380.0,0.19467237339676255,0.14239810851807805
LUX,33490,34514,34030,33257,38736,48190,51485,49898,48638,46304,47096,44314,36144,28724,23191,16786,12795,12472,135291.0,65244.0,640064.0,0.2113710503949605,0.10193355664433557
LVA,96094,104634,100758,91705,82989,101656,134656,133889,122192,129296,128401,131373,134187,111858,94904,72481,65570,47845,393191.0,280800.0,1884488.0,0.2086460619542284,0.14900598995589254
MEX,10732197,11000967,11083131,11076419,10823411,10670774,10041442,9143294,8405040,7951363,7056428,5984670,4868182,3657843,2599494,1778501,1121512,977771,43892714.0,6477278.0,128972439.0,0.34032630801065955,0.05022218739307551
NLD,861140,897223,953734,1028545,1120187,1133725,1137483,1063029,1038769,1110513,1284601,1264526,1148079,1010547,956231,678832,453331,392553,3740642.0,2480947.0,17533048.0,0.213348072736697,0.14150118108385945
NOR,281501,309123,328166,317473,336667,366778,383509,360612,348548,368365,376286,343224,310459,281859,258549,198851,120461,117889,1236263.0,695750.0,5408320.0,0.22858540175137565,0.12864438494763625
NZL,305160,325350,337430,314170,331270,369760,382970,340630,312450,323210,330790,323460,297310,252780,219040,150980,103660,91000,1282110.0,564680.0,5111420.0,0.25083244969108387,0.11047419308137464
OECD,75198257.5706801,80899864.9065847,83658888.373357,83205123.0712868,88091899.3805089,90590930.7671187,92779331.1132889,92532972.5360559,91720332.0888835,91114931.5920598,91164042.0650746,88578403.0944713,81413822.1932111,71058789.1326883,62912384.1937739,44087819.8581352,32730897.6941271,32345573.1140168,322962133.9219086,172076674.860053,1374084262.7453227,0.2350380851292578,0.12523007469444125
POL,1876822,1905991,2072944,1802588,1940927,2348271,2784304,3211368,3079795,2742437,2299098,2294188,2628254,2509175,1956592,1044988,849171,815311,7658345.0,4666062.0,38162224.0,0.20067868686059806,0.12226913190384292
PRT,430362,436669.5,498908.5,530673,559822.5,544033.5,562600,643102,754850,802424.5,751108,745964.5,710240.5,654963.5,594275,470413.5,359770,357526.5,1896613.0,1781985.0,10407707.0,0.18223159049346796,0.1712178292490363
SVK,295445.5,291560.5,283097,259618.5,279406,339394,398090.5,429935.5,450563,422289.5,347802.5,355649,352070,337853,255645.5,159731,104045.5,79794.5,1129721.5,599216.5,5441991.0,0.2075934157186221,0.11010979253732688
SVN,98505,108389,110887,94478,102629,111445,132325,147435,161163,154391,147971,152636,144104,137282,111499,75057,61550,55261,412259.0,303367.0,2107007.0,0.19566095414016185,0.14398006271455197
SWE,591756,621978,624717,583773,578840,705036,750878,667355,636560,663784,666034,652156,569517,538476,543367,469905,286022,265658,2422224.0,1564952.0,10415812.0,0.23255258447445096,0.15024771952489158
TUR,6017659,6575398,6429045,6229912,6702608,6423927,6330341,6429896,6391136,5612964,4669558,4642384,3593155,3047582,2153365,1374032,861305,663059,25252014.0,5051761.0,84147326.0,0.3000928870871072,0.06003471815610635
USA,18676229,20055700,21196508,21571297,22489868,22394192,23034989,22207003,21038242,19747890,20847481,21459873,21083156,18238929,15183744,9917064,6422252,6467137,81499734.0,37990197.0,332031554.0,0.24545779766461592,0.11441742973621115
